commit_author_name,commit_author_date,value,type
JR Ladd,2020-11-13 16:52:27+00:00,4,additions
JR Ladd,2020-11-12 23:25:58+00:00,41,additions
JR Ladd,2020-11-03 16:01:41+00:00,69,additions
JR Ladd,2020-10-25 20:58:33+00:00,7,additions
JR Ladd,2020-10-25 20:36:45+00:00,1,additions
JR Ladd,2020-10-24 22:33:27+00:00,11,additions
JR Ladd,2020-10-24 21:50:07+00:00,68,additions
ZoeLeBlanc,2020-10-20 23:23:09+00:00,516,additions
ZoeLeBlanc,2020-10-20 22:57:45+00:00,2,additions
ZoeLeBlanc,2020-10-20 20:35:11+00:00,35,additions
ZoeLeBlanc,2020-10-20 16:50:52+00:00,58,additions
JR Ladd,2020-10-20 15:25:53+00:00,6,additions
JR Ladd,2020-10-20 15:09:26+00:00,22,additions
ZoeLeBlanc,2020-10-20 01:24:33+00:00,542,additions
JR Ladd,2020-10-16 22:39:00+00:00,4,additions
JR Ladd,2020-10-16 22:10:55+00:00,14,additions
JR Ladd,2020-10-15 23:10:20+00:00,30,additions
JR Ladd,2020-10-15 01:21:12+00:00,68,additions
JR Ladd,2019-08-30 14:15:53+00:00,1,additions
JR Ladd,2019-08-30 14:13:05+00:00,1,additions
Matthew Lincoln,2019-08-29 21:56:05+00:00,1,additions
JR Ladd,2018-03-31 21:40:01+00:00,1,additions
JR Ladd,2018-03-31 21:38:40+00:00,4,additions
JR Ladd,2018-01-23 19:51:02+00:00,4,additions
JR Ladd,2018-01-16 16:12:13+00:00,0,additions
JR Ladd,2018-01-15 19:25:47+00:00,114,additions
JR Ladd,2018-01-12 20:00:15+00:00,1,additions
JR Ladd,2018-01-12 19:16:03+00:00,52,additions
JR Ladd,2018-01-11 22:47:52+00:00,29,additions
JR Ladd,2018-01-11 20:29:04+00:00,16,additions
JR Ladd,2018-01-11 20:15:57+00:00,49,additions
JR Ladd,2018-01-11 18:49:25+00:00,26,additions
JR Ladd,2017-08-29 03:20:17+00:00,1,additions
JR Ladd,2017-08-29 03:17:01+00:00,3,additions
JR Ladd,2017-08-29 03:14:15+00:00,32,additions
JR Ladd,2017-08-10 03:12:41+00:00,42,additions
JR Ladd,2017-08-09 03:19:18+00:00,1728,additions
JR Ladd,2021-07-23 14:12:01+00:00,-1,deletions
JR Ladd,2021-07-02 18:19:38+00:00,-1,deletions
JR Ladd,2021-06-30 19:43:16+00:00,-1,deletions
JR Ladd,2021-06-30 19:15:00+00:00,0,deletions
JR Ladd,2021-06-30 19:07:56+00:00,-1,deletions
JR Ladd,2021-06-30 19:05:38+00:00,-828,deletions
JR Ladd,2021-06-30 18:54:13+00:00,0,deletions
JR Ladd,2021-06-30 18:53:26+00:00,-18,deletions
JR Ladd,2021-06-29 20:31:27+00:00,-2,deletions
JR Ladd,2021-06-29 19:58:15+00:00,-2,deletions
JR Ladd,2021-06-29 19:49:55+00:00,-2,deletions
JR Ladd,2021-06-15 20:18:05+00:00,-215,deletions
JR Ladd,2021-06-08 14:44:04+00:00,0,deletions
JR Ladd,2021-06-08 14:39:41+00:00,-1,deletions
JR Ladd,2021-06-08 14:35:47+00:00,-2,deletions
JR Ladd,2021-06-08 14:24:28+00:00,-1,deletions
JR Ladd,2021-06-02 14:38:03+00:00,0,deletions
JR Ladd,2021-06-02 14:16:03+00:00,0,deletions
JR Ladd,2021-06-01 17:14:41+00:00,0,deletions
JR Ladd,2021-06-01 16:40:31+00:00,-2,deletions
JR Ladd,2021-05-27 21:41:00+00:00,0,deletions
JR Ladd,2021-05-27 21:35:59+00:00,0,deletions
JR Ladd,2021-05-27 21:35:27+00:00,0,deletions
JR Ladd,2021-05-27 21:35:12+00:00,-1,deletions
JR Ladd,2021-05-27 20:35:41+00:00,-10,deletions
JR Ladd,2021-05-27 20:09:38+00:00,-8,deletions
ZoeLeBlanc,2021-05-25 18:07:10+00:00,-12,deletions
JR Ladd,2021-05-23 21:45:28+00:00,-21,deletions
JR Ladd,2021-05-23 21:17:10+00:00,-11,deletions
JR Ladd,2021-05-23 21:03:23+00:00,-5,deletions
JR Ladd,2021-05-23 20:47:39+00:00,-16,deletions
JR Ladd,2021-05-23 20:36:40+00:00,0,deletions
JR Ladd,2021-05-23 20:29:30+00:00,-2,deletions
JR Ladd,2021-05-23 20:11:03+00:00,-8,deletions
ZoeLeBlanc,2021-05-18 23:33:45+00:00,-26,deletions
JR Ladd,2021-05-05 22:52:20+00:00,-1,deletions
JR Ladd,2021-05-05 22:43:43+00:00,-1,deletions
JR Ladd,2021-05-05 21:21:48+00:00,-3,deletions
JR Ladd,2021-05-05 15:10:49+00:00,-2,deletions
JR Ladd,2021-05-04 14:59:30+00:00,-22,deletions
JR Ladd,2021-05-02 15:13:22+00:00,-1,deletions
JR Ladd,2021-05-02 15:12:47+00:00,-6,deletions
JR Ladd,2021-04-30 21:27:41+00:00,0,deletions
JR Ladd,2021-04-30 21:15:52+00:00,-12,deletions
JR Ladd,2021-04-30 19:50:38+00:00,-1,deletions
JR Ladd,2021-04-30 17:16:06+00:00,-1,deletions
JR Ladd,2021-04-30 17:11:43+00:00,-32,deletions
JR Ladd,2021-04-29 21:52:36+00:00,-24,deletions
JR Ladd,2021-04-29 20:33:32+00:00,0,deletions
JR Ladd,2021-04-29 20:09:46+00:00,-4,deletions
JR Ladd,2021-04-29 18:49:00+00:00,-4,deletions
JR Ladd,2021-04-29 18:19:12+00:00,0,deletions
JR Ladd,2021-04-29 17:19:17+00:00,-27,deletions
JR Ladd,2021-04-28 22:53:53+00:00,-10,deletions
JR Ladd,2021-04-28 21:27:52+00:00,-1,deletions
JR Ladd,2021-04-26 21:19:42+00:00,-11,deletions
JR Ladd,2021-04-23 22:58:07+00:00,0,deletions
JR Ladd,2021-04-23 22:25:04+00:00,-16,deletions
JR Ladd,2021-04-10 22:58:49+00:00,-30,deletions
JR Ladd,2021-04-10 22:15:01+00:00,0,deletions
JR Ladd,2021-04-10 22:09:05+00:00,0,deletions
JR Ladd,2021-04-10 19:40:29+00:00,0,deletions
JR Ladd,2021-04-10 18:21:17+00:00,-5,deletions
JR Ladd,2021-04-10 18:08:14+00:00,-6,deletions
JR Ladd,2021-04-10 17:01:51+00:00,-4,deletions
JR Ladd,2021-04-10 16:44:37+00:00,-1,deletions
JR Ladd,2021-04-10 16:32:30+00:00,-1,deletions
JR Ladd,2021-04-08 20:51:24+00:00,0,deletions
JR Ladd,2021-04-08 20:49:01+00:00,-1,deletions
JR Ladd,2021-04-07 19:46:34+00:00,0,deletions
JR Ladd,2021-04-07 19:29:24+00:00,-1,deletions
JR Ladd,2021-04-07 19:26:03+00:00,0,deletions
JR Ladd,2021-04-07 17:39:03+00:00,-1,deletions
JR Ladd,2021-04-07 17:27:23+00:00,-1,deletions
JR Ladd,2021-04-02 20:16:17+00:00,-5,deletions
JR Ladd,2021-04-02 18:08:39+00:00,-1,deletions
JR Ladd,2021-04-02 17:28:48+00:00,0,deletions
JR Ladd,2021-04-02 17:15:08+00:00,-1,deletions
JR Ladd,2021-04-02 17:12:32+00:00,-2,deletions
JR Ladd,2021-03-11 23:13:44+00:00,-2,deletions
JR Ladd,2021-03-11 23:11:48+00:00,-1,deletions
JR Ladd,2021-03-11 22:59:18+00:00,-263,deletions
ZoeLeBlanc,2021-03-11 17:51:27+00:00,-13,deletions
ZoeLeBlanc,2021-03-11 17:25:31+00:00,-108,deletions
ZoeLeBlanc,2021-03-11 17:25:26+00:00,-7,deletions
JR Ladd,2021-03-10 23:57:42+00:00,0,deletions
JR Ladd,2021-03-10 23:52:46+00:00,0,deletions
JR Ladd,2021-03-10 23:47:41+00:00,-2,deletions
JR Ladd,2021-03-10 23:46:48+00:00,-67,deletions
JR Ladd,2021-03-10 23:13:41+00:00,-12,deletions
JR Ladd,2021-03-10 23:03:33+00:00,-20,deletions
JR Ladd,2021-03-10 22:48:37+00:00,-3,deletions
JR Ladd,2021-03-10 22:35:31+00:00,-8,deletions
JR Ladd,2021-03-10 22:06:28+00:00,-2,deletions
ZoeLeBlanc,2021-03-10 21:08:54+00:00,-63,deletions
ZoeLeBlanc,2021-03-10 21:04:55+00:00,-31,deletions
JR Ladd,2021-03-02 20:03:16+00:00,-1,deletions
JR Ladd,2021-03-02 20:00:58+00:00,-2,deletions
JR Ladd,2021-03-02 19:38:31+00:00,-2,deletions
JR Ladd,2021-03-02 19:26:00+00:00,-2,deletions
JR Ladd,2021-03-02 16:20:13+00:00,-38,deletions
JR Ladd,2021-03-01 21:18:18+00:00,-11,deletions
JR Ladd,2021-03-01 19:19:57+00:00,-10,deletions
JR Ladd,2021-03-01 16:47:31+00:00,-8,deletions
ZoeLeBlanc,2021-02-23 21:28:35+00:00,-2,deletions
ZoeLeBlanc,2021-02-23 14:45:00+00:00,-35,deletions
ZoeLeBlanc,2021-02-23 03:30:47+00:00,-59,deletions
JR Ladd,2021-02-18 21:38:36+00:00,-202,deletions
JR Ladd,2021-02-18 21:35:59+00:00,-4,deletions
JR Ladd,2021-02-18 21:34:31+00:00,-2,deletions
JR Ladd,2021-02-18 21:26:12+00:00,-1,deletions
JR Ladd,2021-02-18 16:58:48+00:00,-3,deletions
ZoeLeBlanc,2021-02-17 22:36:29+00:00,0,deletions
ZoeLeBlanc,2021-02-17 22:09:03+00:00,-14,deletions
ZoeLeBlanc,2021-02-16 23:14:04+00:00,-109,deletions
ZoeLeBlanc,2021-02-09 16:04:49+00:00,-108,deletions
JR Ladd,2021-02-08 21:54:25+00:00,-3,deletions
JR Ladd,2021-02-08 21:49:49+00:00,-2,deletions
JR Ladd,2021-02-08 20:42:53+00:00,-2,deletions
JR Ladd,2021-02-05 22:22:51+00:00,-21,deletions
JR Ladd,2021-02-05 22:08:02+00:00,0,deletions
JR Ladd,2021-02-05 22:00:44+00:00,0,deletions
JR Ladd,2021-02-05 21:40:29+00:00,-2,deletions
JR Ladd,2021-02-05 21:25:05+00:00,-2,deletions
JR Ladd,2021-02-05 21:15:52+00:00,-2,deletions
JR Ladd,2021-02-04 21:05:48+00:00,-40,deletions
JR Ladd,2021-02-02 22:40:14+00:00,-6,deletions
ZoeLeBlanc,2021-02-02 19:53:15+00:00,0,deletions
ZoeLeBlanc,2021-02-02 19:53:10+00:00,-4,deletions
ZoeLeBlanc,2021-02-02 19:52:18+00:00,-11,deletions
JR Ladd,2021-02-01 23:58:06+00:00,-5,deletions
ZoeLeBlanc,2021-01-27 16:57:29+00:00,-47,deletions
ZoeLeBlanc,2021-01-26 21:13:37+00:00,-51,deletions
ZoeLeBlanc,2021-01-26 16:46:42+00:00,-8,deletions
ZoeLeBlanc,2021-01-26 16:45:52+00:00,-33,deletions
JR Ladd,2021-01-14 22:37:47+00:00,-2,deletions
